City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather Description
155,Ponta Do Sol,32.6667,-17.1,59.0,76,24,1.99,PT,2021-04-01 06:20:26,few clouds
156,Marzuq,14.4,46.4667,80.46,10,35,2.13,YE,2021-04-01 06:22:49,scattered clouds
157,Acapulco,16.8634,-99.8901,79.39,60,34,3.74,MX,2021-04-01 06:22:50,scattered clouds
158,East London,-33.0153,27.9116,66.2,82,20,6.91,ZA,2021-04-01 06:20:14,few clouds
159,Beloha,-25.1667,45.05,76.98,58,0,12.97,MG,2021-04-01 06:22:50,clear sky
160,Saint-Philippe,-21.3585,55.7679,78.8,73,75,10.36,RE,2021-04-01 06:19:56,light rain
161,Pevek,69.7008,170.3133,-1.68,89,100,3.51,RU,2021-04-01 06:16:40,overcast clouds
162,Lewistown,40.5992,-77.5714,41.0,100,90,11.5,US,2021-04-01 06:22:50,moderate rain
163,Azul,-36.777,-59.8585,52.0,91,86,6.22,AR,2021-04-01 06:22:50,overcast clouds
164,Barrow,71.2906,-156.7887,-7.6,64,1,16.11,US,2021-04-01 06:15:54,clear sky
165,Nageshwari,25.9377,89.7148,86.94,50,10,6.11,BD,2021-04-01 06:22:51,clear sky
166,Thompson,55.7435,-97.8558,19.4,63,75,4.61,CA,2021-04-01 06:20:37,broken clouds
167,Ancud,-41.8697,-73.8203,52.0,100,90,5.75,CL,2021-04-01 06:20:55,fog
168,Gamba,-2.65,10.0,73.47,90,100,6.67,GA,2021-04-01 06:22:51,overcast clouds
169,Whitianga,-36.8333,175.7,63.0,95,97,3.0,NZ,2021-04-01 06:22:51,moderate rain
170,Castro,-24.7911,-50.0119,49.24,82,2,2.39,BR,2021-04-01 06:19:49,clear sky
171,Aksarka,66.5606,67.7975,21.76,94,100,9.78,RU,2021-04-01 06:22:51,light snow
172,Progreso,21.2833,-89.6667,79.0,69,20,8.05,MX,2021-04-01 06:22:52,few clouds
173,Saldanha,-33.0117,17.9442,57.2,88,49,6.91,ZA,2021-04-01 06:16:38,scattered clouds
174,Mezen,65.8522,44.24,31.73,91,100,3.02,RU,2021-04-01 06:18:41,overcast clouds
175,Wad Madani,14.4012,33.5199,83.48,9,40,14.94,SD,2021-04-01 06:22:52,scattered clouds
176,Karratha,-20.7377,116.8463,95.61,25,3,14.41,AU,2021-04-01 06:19:57,clear sky
177,Bratsk,56.1325,101.6142,23.0,46,75,13.42,RU,2021-04-01 06:22:52,broken clouds
178,Cabedelo,-6.9811,-34.8339,75.2,100,20,3.44,BR,2021-04-01 06:22:52,few clouds
179,Chapais,49.7834,-74.8492,8.6,78,90,10.36,CA,2021-04-01 06:20:42,overcast clouds
180,Krasnoselkup,65.7,82.4667,7.77,74,13,15.88,RU,2021-04-01 06:21:07,few clouds
181,Bethel,41.3712,-73.414,54.0,82,90,10.36,US,2021-04-01 06:16:08,light rain
182,Qui Nhon,13.7667,109.2333,84.06,71,52,17.9,VN,2021-04-01 06:22:53,broken clouds
183,Axim,4.8699,-2.2405,78.39,88,15,6.22,GH,2021-04-01 06:20:40,few clouds
184,Camacupa,-12.0167,17.4833,61.48,96,96,2.24,AO,2021-04-01 06:19:53,overcast clouds
185,Arraial Do Cabo,-22.9661,-42.0278,74.26,74,18,19.24,BR,2021-04-01 06:19:51,few clouds
186,Semporna,4.4818,118.6112,87.8,74,40,6.91,MY,2021-04-01 06:22:53,scattered clouds
187,Klaksvik,62.2266,-6.589,42.8,81,75,18.41,FO,2021-04-01 06:20:03,broken clouds
188,Vrangel,42.7297,133.0839,45.39,63,0,8.32,RU,2021-04-01 06:22:53,clear sky
189,Faya,18.3851,42.4509,73.4,21,0,13.8,SA,2021-04-01 06:21:21,clear sky
190,Lengshuijiang,27.6881,111.4294,58.33,89,100,3.6,CN,2021-04-01 06:22:53,overcast clouds
191,Chimbote,-9.0853,-78.5783,67.87,90,16,5.95,PE,2021-04-01 06:22:54,few clouds
192,Hobyo,5.3505,48.5268,83.37,63,73,6.33,SO,2021-04-01 06:20:02,broken clouds
193,Henties Bay,-22.116,14.2845,69.28,76,72,6.31,NA,2021-04-01 06:20:52,broken clouds
194,Ribeira Grande,38.5167,-28.7,59.0,77,75,9.22,PT,2021-04-01 06:20:22,broken clouds
195,Kloulklubed,7.0419,134.2556,78.8,100,90,4.61,PW,2021-04-01 06:21:35,overcast clouds
196,Moron,-34.6534,-58.6198,66.99,91,4,4.23,AR,2021-04-01 06:22:54,clear sky
197,Luderitz,-26.6481,15.1594,69.19,56,0,10.29,NA,2021-04-01 06:20:25,clear sky
198,Mana,5.6592,-53.7767,75.45,88,74,9.26,GF,2021-04-01 06:22:54,broken clouds
199,Grindavik,63.8424,-22.4338,41.0,87,90,20.71,IS,2021-04-01 06:20:13,overcast clouds
200,Price,39.5994,-110.8107,30.2,40,1,9.22,US,2021-04-01 06:22:54,clear sky
201,Hambantota,6.1241,81.1185,89.6,70,20,14.97,LK,2021-04-01 06:19:51,few clouds
202,Pemba,-12.974,40.5178,78.8,78,40,11.5,MZ,2021-04-01 06:18:25,scattered clouds
203,Freeport,40.6576,-73.5832,57.2,94,90,6.91,US,2021-04-01 06:19:30,overcast clouds
204,Naze,28.3667,129.4833,69.8,94,75,19.57,JP,2021-04-01 06:16:53,heavy intensity rain
205,Lebedinyy,58.5167,125.5167,26.78,67,100,9.31,RU,2021-04-01 06:22:55,overcast clouds
206,Sao Filipe,14.8961,-24.4956,71.17,73,22,12.3,CV,2021-04-01 06:20:18,few clouds
207,Namatanai,-3.6667,152.4333,84.27,68,33,5.91,PG,2021-04-01 06:22:55,scattered clouds
208,Dikson,73.5069,80.5464,-2.69,67,100,8.79,RU,2021-04-01 06:19:43,overcast clouds
209,Belmonte,-15.8631,-38.8828,78.8,89,20,8.05,BR,2021-04-01 06:21:59,few clouds
210,Tallahassee,30.4383,-84.2807,66.2,94,90,9.22,US,2021-04-01 06:22:19,overcast clouds
211,Dunedin,-45.8742,170.5036,57.0,76,66,3.0,NZ,2021-04-01 06:22:55,broken clouds
212,Kuntaur,13.6667,-14.8833,74.12,35,0,7.4,GM,2021-04-01 06:22:55,clear sky
213,Torbat-E Jam,35.244,60.6225,53.53,32,61,3.2,IR,2021-04-01 06:22:56,broken clouds
214,Itarema,-2.9248,-39.9167,76.59,91,100,8.75,BR,2021-04-01 06:22:56,overcast clouds
215,Vardo,70.3705,31.1107,33.57,90,96,15.23,NO,2021-04-01 06:21:11,overcast clouds
216,Srednekolymsk,67.45,153.6833,11.64,82,69,7.34,RU,2021-04-01 06:20:16,broken clouds
217,Paamiut,61.994,-49.6678,36.0,76,100,27.34,GL,2021-04-01 06:21:31,overcast clouds
218,Kodiak,57.79,-152.4072,28.4,50,20,21.85,US,2021-04-01 06:18:46,few clouds
219,Vanavara,60.34,102.2797,13.84,68,86,7.96,RU,2021-04-01 06:22:56,overcast clouds
220,Farnham,51.2143,-0.7959,48.0,87,40,8.05,GB,2021-04-01 06:22:56,haze
221,Dingle,10.9995,122.6711,86.63,60,100,16.44,PH,2021-04-01 06:19:52,overcast clouds
222,Victoria,22.2855,114.1577,84.2,61,40,11.5,HK,2021-04-01 06:19:03,scattered clouds
223,Husavik,66.0449,-17.3389,44.6,57,90,11.5,IS,2021-04-01 06:21:48,overcast clouds
224,Asau,46.4333,26.4,50.0,45,92,1.83,RO,2021-04-01 06:22:57,overcast clouds
225,Acevedo,1.8361,-75.855,61.5,97,99,1.36,CO,2021-04-01 06:22:57,overcast clouds
226,Pangnirtung,66.1451,-65.7125,4.98,98,100,2.55,CA,2021-04-01 06:17:33,light snow
227,Evensk,61.95,159.2333,23.32,86,96,5.61,RU,2021-04-01 06:22:57,overcast clouds
228,Lata,40.1629,-8.3327,62.01,79,87,1.01,PT,2021-04-01 06:20:01,overcast clouds
229,Port Blair,11.6667,92.75,77.05,85,100,5.95,IN,2021-04-01 06:22:57,light rain
230,Saskylakh,71.9167,114.0833,-16.87,94,98,11.36,RU,2021-04-01 06:19:44,overcast clouds
231,Orchard Homes,46.8633,-114.0484,37.0,64,1,3.06,US,2021-04-01 06:22:57,clear sky
232,Pimentel,-6.8367,-79.9342,66.99,87,66,4.0,PE,2021-04-01 06:20:12,broken clouds
233,Souillac,-20.5167,57.5167,82.4,83,75,9.22,MU,2021-04-01 06:19:46,broken clouds
234,Touros,-5.1989,-35.4608,75.2,94,40,3.44,BR,2021-04-01 06:20:33,scattered clouds
235,Manaure,11.7751,-72.4445,78.22,76,73,20.6,CO,2021-04-01 06:22:58,broken clouds
236,Lokosovo,61.1333,74.8167,31.82,97,100,13.06,RU,2021-04-01 06:22:58,light snow
237,Kutulik,53.3508,102.7839,27.88,70,100,8.03,RU,2021-04-01 06:22:58,overcast clouds
238,Kapit,2.0167,112.9333,95.04,39,57,3.47,MY,2021-04-01 06:21:59,broken clouds
239,Ilo,-17.6394,-71.3375,68.23,82,90,6.31,PE,2021-04-01 06:22:58,overcast clouds
240,Merrill,45.1805,-89.6835,18.0,67,1,4.61,US,2021-04-01 06:22:59,clear sky
241,Constitucion,-35.3333,-72.4167,55.06,84,89,3.96,CL,2021-04-01 06:20:54,overcast clouds
242,Sinnamary,5.3833,-52.95,76.03,87,86,9.89,GF,2021-04-01 06:22:01,overcast clouds
243,Yulara,-25.2406,130.9889,86.0,13,0,14.97,AU,2021-04-01 06:22:02,clear sky
244,Taoudenni,22.6783,-3.9836,76.84,9,15,10.07,ML,2021-04-01 06:21:14,few clouds
245,Lompoc,34.6391,-120.4579,55.4,76,0,6.91,US,2021-04-01 06:18:13,clear sky
246,Morogoro,-6.8167,37.6667,71.6,100,90,1.14,TZ,2021-04-01 06:22:59,light rain
247,Requena,39.4883,-1.1004,48.99,81,0,3.44,ES,2021-04-01 06:22:59,clear sky
248,Rio Gallegos,-51.6226,-69.2181,48.2,87,40,16.11,AR,2021-04-01 06:21:40,scattered clouds
249,Matiri,-10.75,34.9,64.47,84,39,4.97,TZ,2021-04-01 06:22:59,scattered clouds
250,Biak,-0.9131,122.8766,84.72,66,97,1.81,ID,2021-04-01 06:20:42,overcast clouds
251,Port Hawkesbury,45.6169,-61.3485,45.0,100,90,4.61,CA,2021-04-01 06:20:06,overcast clouds
252,Komsomolskiy,40.4272,71.7189,42.8,52,20,32.21,UZ,2021-04-01 06:19:10,few clouds
253,Lavrentiya,65.5833,-171.0,-6.9,88,20,6.49,RU,2021-04-01 06:21:49,few clouds
254,Hervey Bay,-25.2986,152.8535,75.0,72,14,5.99,AU,2021-04-01 06:23:00,few clouds
255,Port Hedland,-20.3167,118.5667,95.0,41,0,20.71,AU,2021-04-01 06:20:59,clear sky
256,Russell,32.3502,-85.1999,50.0,76,90,12.66,US,2021-04-01 06:19:43,overcast clouds
257,Mao,39.8885,4.2658,53.6,94,0,9.22,ES,2021-04-01 06:20:49,clear sky
258,Bhawanipatna,19.9,83.1667,104.58,7,4,7.54,IN,2021-04-01 06:23:00,clear sky
259,Pochutla,15.7432,-96.4661,78.01,78,47,2.04,MX,2021-04-01 06:23:00,scattered clouds
260,Bilma,18.6853,12.9164,65.71,12,0,14.27,NE,2021-04-01 06:23:01,clear sky
261,Great Yarmouth,52.6083,1.7305,44.6,87,75,13.8,GB,2021-04-01 06:23:01,broken clouds
262,Bundaberg,-24.85,152.35,78.8,47,33,19.57,AU,2021-04-01 06:23:01,scattered clouds
263,Margate,51.3813,1.3862,46.99,82,24,8.01,GB,2021-04-01 06:19:45,few clouds
264,Zyryanka,65.75,150.85,15.26,77,92,5.64,RU,2021-04-01 06:20:08,overcast clouds
265,Hithadhoo,-0.6,73.0833,84.07,77,84,21.36,MV,2021-04-01 06:17:07,broken clouds
266,Vanderhoof,54.0166,-124.0198,29.52,97,100,1.14,CA,2021-04-01 06:23:02,overcast clouds
267,Kruisfontein,-34.0033,24.7314,64.99,77,100,1.99,ZA,2021-04-01 06:20:39,overcast clouds
