City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
192,Forest Lake,45.2789,-92.9852,61.0,50,27,18.01,US,2021-03-30 03:53:51
193,Talnakh,69.4865,88.3972,-11.56,90,50,2.98,RU,2021-03-30 03:54:45
194,Avarua,-21.2078,-159.775,82.4,78,40,11.5,CK,2021-03-30 03:54:46
195,Nanortalik,60.1432,-45.2371,28.31,80,100,17.25,GL,2021-03-30 03:52:40
196,Itarema,-2.9248,-39.9167,75.81,89,69,4.85,BR,2021-03-30 03:54:46
197,Chokurdakh,70.6333,147.9167,6.08,93,92,3.76,RU,2021-03-30 03:54:46
198,Saint-Philippe,-21.3585,55.7679,80.6,65,0,5.75,RE,2021-03-30 03:54:46
199,Fairbanks,64.8378,-147.7164,33.8,80,75,5.75,US,2021-03-30 03:50:05
200,Nhulunbuy,-12.2333,136.7667,87.8,70,75,14.97,AU,2021-03-30 03:54:47
201,Robertsport,6.7533,-11.3686,78.91,85,60,4.38,LR,2021-03-30 03:54:47
202,Neryungri,56.6709,124.6491,24.4,77,98,7.05,RU,2021-03-30 03:54:47
203,Rocha,-34.4833,-54.3333,64.89,89,74,10.49,UY,2021-03-30 03:54:48
204,Rubtsovsk,51.5,81.25,27.32,84,93,14.36,RU,2021-03-30 03:50:17
205,Yerbogachen,61.2767,108.0108,30.49,87,88,4.81,RU,2021-03-30 03:54:48
206,Piacabucu,-10.4056,-36.4344,77.49,86,90,6.82,BR,2021-03-30 03:54:48
207,Oksfjord,70.2396,22.3479,33.8,80,90,3.44,NO,2021-03-30 03:54:48
208,Aykhal,66.0,111.5,22.6,87,100,7.74,RU,2021-03-30 03:54:48
209,Praia Da Vitoria,38.7333,-27.0667,59.0,88,20,3.27,PT,2021-03-30 03:54:49
210,Mahibadhoo,3.7833,72.9667,82.87,73,100,10.92,MV,2021-03-30 03:54:49
211,Pauini,-7.7136,-66.9764,72.64,97,82,0.47,BR,2021-03-30 03:54:49
212,Hay River,60.8156,-115.7999,-2.2,60,40,1.14,CA,2021-03-30 03:54:50
213,Apatou,5.155,-54.3472,72.03,99,99,2.15,GF,2021-03-30 03:54:50
214,Grand Gaube,-20.0064,57.6608,75.2,88,40,4.61,MU,2021-03-30 03:54:50
215,Acapulco,16.8634,-99.8901,80.6,83,40,6.91,MX,2021-03-30 03:54:50
216,Sungai Padi,6.0851,101.8766,87.8,74,20,6.91,TH,2021-03-30 03:54:50
217,Manicore,-5.8092,-61.3003,73.06,98,84,2.06,BR,2021-03-30 03:54:51
218,Qaanaaq,77.484,-69.3632,-10.77,63,97,7.45,GL,2021-03-30 03:54:51
219,Miri,4.4148,114.0089,87.8,66,40,4.61,MY,2021-03-30 03:54:51
220,Nassau,40.7507,-73.5829,46.4,36,1,3.4,US,2021-03-30 03:54:52
221,Samarinda,-0.5,117.15,83.39,78,100,3.83,ID,2021-03-30 03:54:52
222,Qaqortoq,60.7167,-46.0333,24.8,54,75,3.44,GL,2021-03-30 03:54:52
223,Livingston,55.9029,-3.5226,53.6,82,90,14.97,GB,2021-03-30 03:54:52
224,Ulladulla,-35.35,150.4667,69.8,46,75,6.91,AU,2021-03-30 03:54:13
225,Stornoway,58.2093,-6.3865,52.0,93,90,20.71,GB,2021-03-30 03:54:53
226,Pachalum,14.9247,-90.6628,64.4,77,0,20.71,GT,2021-03-30 03:54:53
227,Coquimbo,-29.9533,-71.3436,55.4,88,0,3.44,CL,2021-03-30 03:54:53
228,Airai,-8.9266,125.4092,62.65,92,100,4.05,TL,2021-03-30 03:54:54
229,Makakilo City,21.3469,-158.0858,80.6,73,90,10.36,US,2021-03-30 03:54:54
230,Cherskiy,68.75,161.3,7.75,85,100,8.1,RU,2021-03-30 03:54:54
231,Obama,35.4958,135.746,71.01,72,67,5.01,JP,2021-03-30 03:54:54
232,Verkhnyaya Inta,65.9811,60.3094,32.59,98,100,13.85,RU,2021-03-30 03:54:54
233,Guerrero Negro,27.9769,-114.0611,60.03,80,76,9.8,MX,2021-03-30 03:54:55
234,Faanui,-16.4833,-151.75,82.18,72,75,12.77,PF,2021-03-30 03:54:55
235,Saint-Denis,48.9167,2.3333,53.6,76,0,4.61,FR,2021-03-30 03:54:55
236,Kisoro,-1.2854,29.685,56.77,92,100,1.97,UG,2021-03-30 03:54:56
237,Olinda,-8.0089,-34.8553,78.8,78,40,2.3,BR,2021-03-30 03:54:56
238,Kimbe,-5.5502,150.1429,88.11,61,73,6.35,PG,2021-03-30 03:54:56
239,Nelson Bay,-32.7167,152.15,73.4,56,40,19.57,AU,2021-03-30 03:54:56
240,Itacare,-14.2775,-38.9967,73.56,82,6,2.26,BR,2021-03-30 03:54:56
241,Tirukkoyilur,11.95,79.2,89.49,46,58,6.06,IN,2021-03-30 03:54:57
242,Lorengau,-2.0226,147.2712,85.91,66,85,7.65,PG,2021-03-30 03:54:57
243,Bulaevo,54.9056,70.4439,14.74,91,98,6.91,KZ,2021-03-30 03:54:57
244,Boa Vista,2.8197,-60.6733,78.8,78,40,12.66,BR,2021-03-30 03:54:57
245,Port Hardy,50.6996,-127.4199,42.8,70,75,9.22,CA,2021-03-30 03:54:58
246,Vallenar,-28.5708,-70.7581,63.46,63,0,1.39,CL,2021-03-30 03:54:58
247,Sola,-13.8833,167.55,89.6,74,75,4.61,VU,2021-03-30 03:54:58
248,Cidreira,-30.1811,-50.2056,65.34,76,28,12.01,BR,2021-03-30 03:54:58
249,Ketchikan,55.3422,-131.6461,37.4,93,90,4.61,US,2021-03-30 03:51:16
250,Flinders,-34.5833,150.8552,73.99,46,75,6.91,AU,2021-03-30 03:54:59
251,La Roda,39.2167,-2.15,46.99,93,0,3.44,ES,2021-03-30 03:54:59
252,Boende,-0.2167,20.8667,70.25,96,100,1.3,CD,2021-03-30 03:54:59
253,Bratca,46.9333,22.6167,45.0,65,75,4.61,RO,2021-03-30 03:54:59
254,Bensonville,6.4461,-10.6125,75.16,94,43,2.28,LR,2021-03-30 03:55:00
255,Agboville,5.928,-4.2132,74.39,97,4,2.17,CI,2021-03-30 03:55:00
256,Rathdrum,47.8137,-116.892,35.6,35,1,8.05,US,2021-03-30 03:55:01
257,Kieta,-6.2167,155.6333,83.91,75,80,6.33,PG,2021-03-30 03:55:01
258,Patharia,23.9,79.2,95.29,10,11,19.55,IN,2021-03-30 03:55:01
259,Platanos,37.6667,21.6167,51.8,93,75,5.77,GR,2021-03-30 03:55:02
260,Umm Lajj,25.0213,37.2685,70.63,63,29,10.56,SA,2021-03-30 03:55:02
261,Bukachacha,52.9833,116.9167,36.0,60,100,3.85,RU,2021-03-30 03:55:03
262,Ngunguru,-35.6167,174.5,69.01,94,88,7.0,NZ,2021-03-30 03:55:03
263,Saint-Francois,46.4154,3.9054,39.0,93,0,2.3,FR,2021-03-30 03:55:04
264,Isangel,-19.55,169.2667,86.0,74,75,6.87,VU,2021-03-30 03:55:04
265,San Patricio,28.017,-97.5169,66.0,94,90,8.05,US,2021-03-30 03:55:04
266,Mujiayingzi,42.1167,118.7833,59.04,12,93,9.86,CN,2021-03-30 03:55:04
267,Waipawa,-41.4122,175.5153,64.0,94,75,5.75,NZ,2021-03-30 03:55:05
268,Twentynine Palms,34.1356,-116.0542,73.4,14,1,12.66,US,2021-03-30 03:55:05
269,Souillac,-20.5167,57.5167,75.2,88,40,4.61,MU,2021-03-30 03:55:05
270,Yining,29.0361,114.5636,67.37,93,100,2.26,CN,2021-03-30 03:55:05
271,Luanda,-8.8368,13.2343,77.0,88,20,3.44,AO,2021-03-30 03:52:06
272,Mar Del Plata,-38.0023,-57.5575,62.01,93,40,6.46,AR,2021-03-30 03:55:06
273,Gerash,27.6652,54.1371,60.8,36,0,4.61,IR,2021-03-30 03:55:06
274,Saint George,37.1041,-113.5841,62.6,17,1,20.71,US,2021-03-30 03:54:16
275,Berlevag,70.8578,29.0864,33.8,86,75,8.05,NO,2021-03-30 03:55:06
276,Nesterov,54.6306,22.5714,46.13,97,100,9.98,RU,2021-03-30 03:55:06
277,La Palma,33.8464,-118.0467,62.6,100,1,9.22,US,2021-03-30 03:55:07
278,Karpathos,35.507,27.2132,59.0,55,20,16.11,GR,2021-03-30 03:55:07
279,Culpeper,38.5004,-77.9664,41.0,81,1,2.06,US,2021-03-30 03:55:07
280,Mashhad,36.297,59.6062,41.0,70,20,5.26,IR,2021-03-30 03:55:08
281,Goure,13.9835,10.2704,71.01,11,0,8.01,NE,2021-03-30 03:55:08
